"customer_id","First name","Last name","gender","language","agree_for_promo","autopay_card","customer_category","status","data_of_birth"
"1","Emma","Richard","female","English","Yes","No"," physical","active","1969-10-17 00:00:00"
"2","Henry","Landry","male","English","No","No"," physical","active","1943-07-10 00:00:00"
"3","Ellie","King","female","French","Yes","No"," physical","active","1954-08-06 00:00:00"
"4","Scarlett","Nadeau","female","English","No","No"," physical","active","1993-04-21 00:00:00"
"5","James","Beaulieu","male","English","Yes","Yes"," physical","active","1958-09-08 00:00:00"
"6","Noah","Reynolds","male","English","Yes","Yes","business","active","1945-11-08 00:00:00"
"7","Everly","MacDonald","female","English","No","No"," physical","active","1998-03-25 00:00:00"
"8","Leah","Chen","female","English","No","Yes"," physical","active","1991-11-04 00:00:00"
"9","Owen","Nguyen","male","English","Yes","Yes"," physical","active","1953-08-06 00:00:00"
"10","Charlotte","Cote","female","English","Yes","No"," physical","active","1940-01-25 00:00:00"
"11","William","Gauthier","male","English","Yes","No"," physical","active","1949-10-06 00:00:00"
"12","Isla","Nguyen","female","English","No","No"," physical","active","1995-09-21 00:00:00"
"13","Jack","Pelletier","male","English","Yes","No"," physical","inactive","1998-04-23 00:00:00"
"14","Nathan","Graham","male","English","No","Yes","business","inactive","1989-06-20 00:00:00"
"15","Levi","Chen","male","English","Yes","No"," physical","active","1962-10-13 00:00:00"
"16","Isla","Patel","female","English","Yes","No"," physical","active","1962-05-11 00:00:00"
"17","Ava","Rogen","female","French","No","No"," physical","active","2000-05-26 00:00:00"
"18","Nathan","Gauthier","male","English","Yes","No"," physical","active","2000-11-08 00:00:00"
"19","Charlotte","Cote","female","English","Yes","Yes"," physical","active","1961-03-15 00:00:00"
"20","Logan","Johnston","male","English","Yes","Yes"," physical","active","1940-05-01 00:00:00"
"21","Amelia","Girard","female","Chinese","Yes","Yes"," physical","active","1968-09-27 00:00:00"
"22","Elliot","Reynolds","male","English","No","Yes"," physical","active","1957-11-18 00:00:00"
"23","Ava","Richard","female","English","Yes","No"," physical","active","1949-11-30 00:00:00"
"24","Henry","Khan","male","English","Yes","No","business","active","1956-02-28 00:00:00"
"25","Benjamin","Rogen","male","French","No","No"," physical","active","1982-02-22 00:00:00"
"26","Mila","Lewis","female","French","No","Yes"," physical","active","1978-10-08 00:00:00"
"27","Lily","Peters","female","French","Yes","No"," physical","active","1983-03-13 00:00:00"
"28","Olivia","Jackson","female","French","No","Yes","business","active","1947-01-01 00:00:00"
"29","Charlie","Fortin","female","English","Yes","No","business","inactive","1992-05-10 00:00:00"
"30","Abigail","Martin","female","English","No","Yes"," physical","active","1951-08-30 00:00:00"
"31","Isla","Gauthier","female","English","Yes","No"," physical","active","1979-10-28 00:00:00"
"32","Owen","Lin","male","English","Yes","Yes"," physical","active","1999-03-23 00:00:00"
"33","Hannah","Kennedy","female","English","No","No"," physical","active","1940-08-21 00:00:00"
"34","Alexander","Morrison","male","English","No","Yes"," physical","active","1999-02-12 00:00:00"
"35","Scarlett","Patel","female","English","Yes","Yes"," physical","active","1985-11-11 00:00:00"
"36","Amelia","Hall","female","French","No","No"," physical","active","1991-11-28 00:00:00"
"37","Olivia","Morin","female","English","Yes","No"," physical","active","1945-02-10 00:00:00"
"38","Alexander","Khan","male","English","No","Yes"," physical","active","1995-11-04 00:00:00"
"39","Lucas","Campbell","male","English","No","Yes"," physical","active","1943-04-07 00:00:00"
"40","Emma","Johnson","female","English","Yes","Yes"," physical","active","1954-10-07 00:00:00"
"41","Ethan","Kennedy","male","English","Yes","No"," physical","active","1940-05-24 00:00:00"
"42","Mia","Levesque","female","English","Yes","Yes"," physical","active","1951-05-27 00:00:00"
"43","Nora","Campbell","female","English","Yes","No"," physical","active","1955-09-21 00:00:00"
"44","Benjamin","Campbell","male","English","Yes","Yes"," physical","active","1979-01-03 00:00:00"
"45","William","Bouchard","male","English","Yes","No"," physical","active","2001-05-04 00:00:00"
"46","Lucas","Reynolds","male","English","No","Yes"," physical","active","1996-01-31 00:00:00"
"47","Leah","Kennedy","female","English","No","No"," physical","active","1992-03-08 00:00:00"
